                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3253,                 1.5967,                0.92983,                0.99479,                0.33891,                0.87154,                0.58111,                0.95434,                 2.2001,                 0.8426,             0.00065863,             0.00065863,             0.00065863
                      2,                 1.0807,                0.80432,                0.87142,                0.92345,                0.87804,                0.95067,                 0.6003,                 1.0352,                 0.7667,                 0.8633,              0.0013122,              0.0013122,              0.0013122
                      3,                0.98603,                0.70167,                0.85269,                 0.9227,                 0.9355,                0.97259,                0.69103,                 0.9472,                0.63017,                0.84741,              0.0019525,              0.0019525,              0.0019525
                      4,                0.99719,                0.63271,                0.85882,                0.93386,                0.94556,                0.97831,                0.71066,                0.89908,                0.58812,                0.84195,              0.0019406,              0.0019406,              0.0019406
                      5,                0.92121,                0.56121,                0.84054,                0.93624,                0.92104,                0.97092,                0.74775,                0.78599,                  0.515,                0.82376,              0.0019406,              0.0019406,              0.0019406
                      6,                0.89207,                0.54476,                0.84211,                0.91227,                0.93529,                0.97547,                0.74425,                0.83311,                0.53675,                 0.8317,              0.0019208,              0.0019208,              0.0019208
                      7,                0.86294,                0.51201,                0.83336,                0.95609,                0.94057,                0.98013,                0.75474,                0.78014,                0.46815,                0.82455,               0.001901,               0.001901,               0.001901
                      8,                0.88459,                0.50487,                 0.8333,                0.95765,                0.93373,                0.98126,                0.78088,                0.73135,                0.43945,                0.81813,              0.0018812,              0.0018812,              0.0018812
                      9,                0.82868,                0.47882,                0.82953,                0.95766,                0.94201,                0.97977,                0.78479,                0.69301,                0.42972,                0.81066,              0.0018614,              0.0018614,              0.0018614
                     10,                0.84823,                0.48404,                0.82896,                0.95778,                0.92615,                0.98008,                0.79797,                0.70121,                0.44129,                0.81317,              0.0018416,              0.0018416,              0.0018416
                     11,                0.85027,                 0.4838,                0.83304,                0.96332,                0.93232,                0.98309,                0.77605,                0.73533,                0.43917,                0.81877,              0.0018218,              0.0018218,              0.0018218
                     12,                0.79763,                0.46715,                0.82406,                 0.9484,                0.93529,                0.98038,                  0.773,                0.73839,                 0.4561,                0.81906,               0.001802,               0.001802,               0.001802
                     13,                0.79736,                0.45715,                0.82543,                0.95896,                0.94013,                0.97894,                0.79148,                0.69122,                0.43198,                0.81386,              0.0017822,              0.0017822,              0.0017822
                     14,                0.81624,                0.46378,                0.82605,                0.95621,                 0.9304,                 0.9815,                0.78855,                0.71802,                0.45085,                0.81417,              0.0017624,              0.0017624,              0.0017624
                     15,                0.79447,                0.45187,                0.82542,                0.96682,                0.93099,                0.98095,                0.79984,                0.68901,                0.41835,                0.81159,              0.0017426,              0.0017426,              0.0017426
                     16,                0.79741,                0.44355,                0.82574,                 0.9663,                0.93324,                 0.9805,                0.80178,                0.69822,                0.40674,                0.81364,              0.0017228,              0.0017228,              0.0017228
                     17,                0.76217,                0.42652,                0.82012,                 0.9591,                0.94353,                0.98516,                0.80354,                0.65964,                0.40155,                0.80686,               0.001703,               0.001703,               0.001703
                     18,                0.76099,                 0.4256,                0.81783,                0.95353,                0.94707,                0.98565,                0.81342,                0.65865,                0.39631,                0.80896,              0.0016832,              0.0016832,              0.0016832
                     19,                0.75987,                0.42471,                0.82047,                0.96354,                0.93825,                0.98647,                0.80038,                0.67878,                0.40278,                0.80875,              0.0016634,              0.0016634,              0.0016634
                     20,                0.74936,                0.41557,                0.81911,                0.95934,                0.94937,                0.98598,                0.80224,                0.65599,                0.39361,                0.80804,              0.0016436,              0.0016436,              0.0016436
                     21,                0.74323,                0.42183,                0.81641,                0.95947,                0.95257,                0.98732,                 0.8169,                0.65553,                0.39754,                0.80657,              0.0016238,              0.0016238,              0.0016238
                     22,                0.75401,                0.42772,                0.81806,                0.95247,                0.96095,                0.98658,                0.82084,                0.64797,                0.38253,                0.80629,               0.001604,               0.001604,               0.001604
                     23,                0.73504,                0.41483,                0.81763,                 0.9548,                0.95444,                0.98598,                0.81305,                0.64653,                0.39962,                0.80486,              0.0015842,              0.0015842,              0.0015842
                     24,                0.71935,                0.40553,                0.81415,                0.96004,                 0.9426,                0.98419,                0.81405,                0.64095,                0.39962,                0.80556,              0.0015644,              0.0015644,              0.0015644
                     25,                0.73792,                0.40665,                0.81438,                0.96148,                 0.9452,                0.98588,                0.82128,                0.61756,                0.37729,                0.80169,              0.0015446,              0.0015446,              0.0015446
                     26,                0.73756,                0.40968,                0.81385,                0.94733,                0.96842,                0.98765,                0.83148,                0.61376,                0.36839,                0.80081,              0.0015248,              0.0015248,              0.0015248
                     27,                0.71856,                0.40079,                0.81718,                0.96674,                 0.9458,                0.98734,                0.81816,                0.65163,                0.37755,                0.80338,               0.001505,               0.001505,               0.001505
                     28,                0.72002,                0.39916,                0.81603,                0.95239,                0.94685,                0.98545,                0.82211,                 0.6368,                0.37795,                0.80173,              0.0014852,              0.0014852,              0.0014852
                     29,                0.72915,                0.39992,                0.81271,                0.97714,                0.93578,                0.98645,                0.82491,                0.62836,                0.36868,                0.80302,              0.0014654,              0.0014654,              0.0014654
                     30,                0.70075,                0.39105,                0.81128,                0.96491,                0.94384,                0.98525,                0.81699,                0.65161,                0.38473,                0.80489,              0.0014456,              0.0014456,              0.0014456
                     31,                0.70899,                0.39339,                0.81056,                0.95343,                0.95696,                0.98658,                0.83229,                0.59629,                0.36737,                0.79945,              0.0014258,              0.0014258,              0.0014258
                     32,                0.69634,                0.38674,                0.81048,                 0.9635,                0.95286,                0.98685,                0.83278,                0.60854,                0.36926,                0.80012,               0.001406,               0.001406,               0.001406
                     33,                  0.686,                 0.3819,                0.81051,                0.96311,                0.95266,                 0.9875,                0.82702,                0.64337,                0.37437,                0.80438,              0.0013862,              0.0013862,              0.0013862
                     34,                0.68684,                0.38452,                0.80848,                0.95349,                0.94617,                0.98483,                0.82574,                0.61766,                0.37664,                 0.8004,              0.0013664,              0.0013664,              0.0013664
                     35,                0.70243,                0.38758,                0.81252,                0.96904,                0.94793,                0.98716,                0.82354,                0.63387,                0.36343,                0.80332,              0.0013466,              0.0013466,              0.0013466
                     36,                0.68146,                 0.3771,                0.80946,                0.96819,                 0.9497,                0.98647,                0.83402,                 0.6039,                0.36435,                 0.7988,              0.0013268,              0.0013268,              0.0013268
                     37,                0.66675,                0.36848,                0.80644,                0.96582,                0.95299,                 0.9882,                0.82706,                0.62234,                0.35985,                0.80065,               0.001307,               0.001307,               0.001307
                     38,                 0.6826,                0.37737,                0.80938,                0.96303,                0.95566,                0.98775,                0.83948,                0.58634,                0.35241,                0.79682,              0.0012872,              0.0012872,              0.0012872
                     39,                0.68307,                0.37724,                0.80881,                0.97323,                0.94656,                0.98769,                0.84395,                0.57981,                0.35075,                0.79734,              0.0012674,              0.0012674,              0.0012674
                     40,                0.67712,                0.37564,                0.81053,                0.96783,                0.94345,                0.98671,                 0.8317,                0.60638,                0.35553,                0.79927,              0.0012476,              0.0012476,              0.0012476
                     41,                0.66611,                0.37073,                0.80562,                0.95894,                0.95343,                0.98672,                0.83323,                0.59947,                0.36031,                 0.7989,              0.0012278,              0.0012278,              0.0012278
                     42,                0.66977,                0.37207,                0.80539,                0.96031,                0.95385,                0.98676,                 0.8446,                0.58712,                0.34997,                0.79835,               0.001208,               0.001208,               0.001208
                     43,                0.66481,                0.36851,                0.80747,                0.96297,                0.95399,                0.98783,                0.83344,                0.62866,                0.35377,                0.80403,              0.0011882,              0.0011882,              0.0011882
                     44,                0.66396,                0.36609,                0.80682,                0.96013,                0.95469,                  0.987,                0.84274,                0.58625,                0.34344,                0.79749,              0.0011684,              0.0011684,              0.0011684
                     45,                0.66116,                0.36034,                0.80624,                0.97121,                0.95089,                0.98754,                0.84054,                 0.5862,                0.34184,                0.79793,              0.0011486,              0.0011486,              0.0011486
                     46,                0.66783,                0.36398,                0.80618,                0.95201,                0.95444,                 0.9855,                 0.8468,                0.56276,                0.34968,                0.79541,              0.0011288,              0.0011288,              0.0011288
